name,longitude,latitude,label
东源县,114.746344,23.788189,1
和平县,114.938684,24.44218,1
连平县,114.488556,24.369583,1
龙川县,115.259871,24.100066,1
源城区,114.702517,23.733969,1
紫金县,115.184107,23.635745,1
惠州市,114.415612,23.112381,1
博罗县,114.289528,23.172771,1
惠城区,114.382474,23.084137,1
惠东县,114.719988,22.985014,1
惠阳区,114.456176,22.789788,1
龙门县,114.254863,23.727737,1
江门市,113.081542,22.57899,1
恩平市,112.305145,22.183206,1
鹤山市,112.964252,22.76545,1
江海区,113.111612,22.560473,1
开平市,112.698545,22.376395,1
蓬江区,113.078521,22.595149,1
台山市,112.794065,22.251924,1
新会区,113.034187,22.4583,1
揭阳市,116.372708,23.549701,1
惠来县,116.29515,23.033266,1
揭东区,116.412015,23.566126,1
揭西县,115.841837,23.431294,1
普宁市,116.165777,23.297493,1
榕城区,116.367012,23.525382,1
茂名市,110.925439,21.662991,1
电白区,111.013556,21.514163,1
高州市,110.853299,21.918203,1
化州市,110.639565,21.66463,1
茂南区,110.918026,21.641337,1
信宜市,110.947043,22.354385,1
梅州市,116.122523,24.288578,1
大埔县,116.695195,24.347782,1
丰顺县,116.181691,23.739343,1
蕉岭县,116.171355,24.658699,1
梅江区,116.116695,24.31049,1
梅县区,116.081656,24.265926,1
平远县,115.891638,24.567261,1
五华县,115.775788,23.932409,1
兴宁市,115.731167,24.136708,1
清远市,113.056042,23.681774,1
佛冈县,113.531607,23.879192,1
连州市,112.377361,24.780966,1
连南瑶族自治县,112.287012,24.726017,1
连山壮族瑶族自治县,112.093617,24.570491,1
清新区,113.017747,23.734677,1
清城区,113.062692,23.697899,1
阳山县,112.641363,24.465359,1
英德市,113.401701,24.206986,1
汕头市,116.681972,23.354091,1
潮南区,116.439178,23.23865,1
澄海区,116.755992,23.466709,1
潮阳区,116.601509,23.265356,1
濠江区,116.726973,23.286079,1
金平区,116.70345,23.365556,1
龙湖区,116.716446,23.372254,1
南澳县,117.023374,23.421724,1
汕尾市,115.375431,22.78705,1
城区,115.365058,22.779207,1
海丰县,115.323436,22.966585,1
陆丰市,115.652151,22.919228,1
陆河县,115.660143,23.301616,1
韶关市,113.59762,24.810879,1
曲江区,113.604535,24.682501,1
乳源瑶族自治县,113.275883,24.776078,1
始兴县,114.061789,24.952976,1
翁源县,114.130342,24.350346,1
武江区,113.587756,24.792926,1
新丰县,114.206867,24.05976,1
浈江区,113.611098,24.804381,1
深圳市,114.057939,22.543527,1
宝安区,113.883802,22.554996,1
福田区,114.055072,22.521521,1
龙岗区,114.246899,22.720974,1
龙华区,114.045422,22.696667,1
罗湖区,114.131459,22.548389,1
南山区,113.930413,22.533287,1
坪山区,114.350584,22.708881,1
盐田区,114.236739,22.557001,1
阳江市,111.982589,21.857887,1
江城区,111.955058,21.861786,1
阳西县,111.61766,21.752771,1
阳东区,112.006363,21.868337,1
阳春市,111.791587,22.17041,1
云浮市,112.044491,22.915094,1
罗定市,111.569892,22.768285,1
新兴县,112.225334,22.69569,1
云安区,112.003208,23.071019,1
郁南县,111.535285,23.23456,1
云城区,112.043945,22.92815,1
湛江市,110.356639,21.270145,1
赤坎区,110.365899,21.266119,1
雷州市,110.096586,20.914178,1
廉江市,110.286208,21.6097,1
麻章区,110.334387,21.263442,1
坡头区,110.455332,21.244721,1
遂溪县,110.250123,21.377246,1
吴川市,110.778411,21.441808,1
霞山区,110.397656,21.192457,1
徐闻县,110.176749,20.325489,1
肇庆市,112.465091,23.047191,1
德庆县,111.785937,23.143722,1
鼎湖区,112.567588,23.158447,1
端州区,112.484848,23.052101,1
封开县,111.512343,23.424033,1
高要区,112.457981,23.025305,1
广宁县,112.44069,23.634675,1
怀集县,112.167742,23.92035,1
四会市,112.734103,23.327001,1
珠海市,113.576677,22.270978,1
斗门区,113.296467,22.2092,1
金湾区,113.362656,22.147471,1
香洲区,113.543784,22.265811,1
广西壮族自治区,108.327546,22.815478,1
北海市,109.120161,21.481291,1
海城区,109.117209,21.475004,1
合浦县,109.207335,21.660935,1
铁山港区,109.42158,21.529127,1
银海区,109.139862,21.449308,1
百色市,106.618202,23.90233,1
德保县,106.615373,23.32345,1
靖西市,106.417805,23.134117,1
乐业县,106.556519,24.776827,1
凌云县,106.56131,24.347557,1
隆林各族自治县,105.34404,24.770896,1
那坡县,105.83253,23.387441,1
平果县,107.589809,23.329376,1
田林县,106.228538,24.294487,1
田东县,107.12608,23.597194,1
田阳县,106.915496,23.735692,1
西林县,105.093825,24.489823,1
右江区,106.618225,23.90097,1
崇左市,107.365094,22.377253,1
大新县,107.200654,22.829287,1
扶绥县,107.904186,22.635012,1
江州区,107.353437,22.405325,1
龙州县,106.854482,22.342778,1
宁明县,107.076456,22.140192,1
凭祥市,106.766293,22.094484,1
天等县,107.143432,23.081394,1
防城港市,108.353846,21.68686,1
东兴市,107.971828,21.547821,1
防城区,108.353499,21.769211,1
港口区,108.380143,21.643383,1
上思县,107.983627,22.153671,1
恭城瑶族自治县,110.828409,24.831682,1
荔浦县,110.395104,24.488342,1
平乐县,110.643305,24.633362,1
阳朔县,110.496593,24.77848,1
永福县,109.983076,24.979855,1
贵港市,109.598926,23.11153,1
港南区,109.599556,23.075573,1
港北区,109.57224,23.11153,1
桂平市,110.079379,23.394325,1
平南县,110.392311,23.539264,1
覃塘区,109.452662,23.127149,1
河池市,108.085261,24.692931,1
巴马瑶族自治县,107.258588,24.142298,1
大化瑶族自治县,107.998149,23.736457,1
东兰县,107.374293,24.510842,1
都安瑶族自治县,108.105311,23.932675,1
凤山县,107.04219,24.546876,1
环江毛南族自治县,108.258028,24.825664,1
金城江区,108.037276,24.689703,1
罗城仫佬族自治县,108.904706,24.777411,1
南丹县,107.541244,24.975631,1
天峨县,107.173802,24.999108,1
宜州区,108.636414,24.485214,1
贺州市,111.566871,24.403528,1
八步区,111.552095,24.411805,1
富川瑶族自治县,111.27745,24.814443,1
平桂区,111.479923,24.453845,1
昭平县,110.811325,24.169385,1
钟山县,111.303009,24.525957,1
来宾市,109.221465,23.750306,1
合山市,108.886082,23.806535,1
金秀瑶族自治县,110.189462,24.130374,1
武宣县,109.663206,23.59411,1
忻城县,108.665666,24.066234,1
象州县,109.705065,23.973793,1
兴宾区,109.183333,23.72892,1
柳州市,109.428608,24.326291,1
城中区,109.4273,24.366,1
柳城县,109.24473,24.651518,1
柳北区,109.402049,24.362691,1
柳江区,109.32638,24.254891,1
柳南区,109.385518,24.336229,1
鹿寨县,109.750638,24.472897,1
鱼峰区,109.452442,24.318516,1
南宁市,108.366543,22.817002,1
宾阳县,108.810326,23.217786,1
横县,109.261384,22.679931,1
江南区,108.273133,22.78136,1
良庆区,108.39301,22.752997,1
隆安县,107.696153,23.166028,1
马山县,108.177019,23.708321,1
青秀区,108.494024,22.785879,1
上林县,108.602846,23.431908,1
武鸣区,108.27467,23.158595,1
西乡塘区,108.313494,22.833928,1
兴宁区,108.368871,22.854021,1
邕宁区,108.487368,22.75839,1
钦州市,108.654146,21.979933,1
灵山县,109.291006,22.416536,1
浦北县,109.556953,22.271651,1
钦北区,108.44911,22.132761,1
钦南区,108.657209,21.938859,1
梧州市,111.279115,23.476962,1
苍梧县,111.544007,23.845097,1
岑溪市,110.994913,22.91835,1
龙圩区,111.246606,23.404772,1
蒙山县,110.525003,24.19357,1
藤县,110.914849,23.374983,1
万秀区,111.320518,23.472991,1
长洲区,111.274673,23.485944,1
玉林市,110.18122,22.654032,1
博白县,109.975985,22.273048,1
北流市,110.354214,22.70831,1
福绵区,110.059439,22.585556,1
陆川县,110.264052,22.321048,1
容县,110.558074,22.857839,1
兴业县,109.875304,22.736421,1
玉州区,110.151153,22.628087,1
海南省,110.349228,20.017377,1
儋州市,109.580811,19.521134,1
海头镇,108.953392,19.503315,1
白马井镇,109.218734,19.696407,1
新英湾街道,109.2224,19.745499,1
